LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
Passagem A,Alto da Mooca,"São Paulo, SP","Alto da Mooca, São Paulo, SP",03195-105
Rua A,Jardim Amália,"São Paulo, SP","Jardim Amália, São Paulo, SP",05892-387
Rua 03 de Outubro (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-284
Rua 13 de Maio,Cantinho do Céu,"São Paulo, SP","Cantinho do Céu, São Paulo, SP",04849-529
Viela 16,Parque São José,"São Paulo, SP","Parque São José, São Paulo, SP",04843-425
Rua 18 de Abril,Cidade Antônio Estevão de Carvalho,"São Paulo, SP","Cidade Antônio Estevão de Carvalho, São Paulo, SP",08226-021
Travessa 19 de Agosto,Jardim Maria Estela,"São Paulo, SP","Jardim Maria Estela, São Paulo, SP",04180-112
Rua 2 de Fevereiro,Cidade Nova Heliópolis,"São Paulo, SP","Cidade Nova Heliópolis, São Paulo, SP",04236-094
Rua 21 de Abril,Brás,"São Paulo, SP","Brás, São Paulo, SP",03047-000
Rua 23 de Novembro,Vila Progresso (Zona Leste),"São Paulo, SP","Vila Progresso (Zona Leste), São Paulo, SP",08240-001
Avenida 24 de Agosto,Conjunto Habitacional Fazenda do Carmo,"São Paulo, SP","Conjunto Habitacional Fazenda do Carmo, São Paulo, SP",08421-510
Travessa 26 de Outubro,Jardim Nazareth,"São Paulo, SP","Jardim Nazareth, São Paulo, SP",08150-640
Rua 29,Lotm Cananéia,"Fazenda Sao Paulo, SP","Lotm Cananéia, Fazenda Sao Paulo, SP",18190-000
Rua 29 de Julho (Vila Helena),Jardim São Martinho,"São Paulo, SP","Jardim São Martinho, São Paulo, SP",08081-511
Rua 3,Jardim Jaú (Zona Sul),"São Paulo, SP","Jardim Jaú (Zona Sul), São Paulo, SP",04852-410
Viaduto 31 de Março,Liberdade,"São Paulo, SP","Liberdade, São Paulo, SP",01517-100
Rua 5 de Outubro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-309
Rua 7 G,Cidade Tiradentes,"São Paulo, SP","Cidade Tiradentes, São Paulo, SP",08475-250
Travessa 713,Guaianazes,"São Paulo, SP","Guaianazes, São Paulo, SP",08412-120
Rua 9 de Setembro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-333
Travessa A Banda,Jardim da Conquista (Zona Leste),"São Paulo, SP","Jardim da Conquista (Zona Leste), São Paulo, SP",08344-010
Caminho A,Embura,"São Paulo, SP","Embura, São Paulo, SP",04893-052
Estrada A,Sítio Represa,"São Paulo, SP","Sítio Represa, São Paulo, SP",04894-017
Praça A Gazeta da Zona Norte,Santana,"São Paulo, SP","Santana, São Paulo, SP",02012-030
Passagem A,Vila Carrão,"São Paulo, SP","Vila Carrão, São Paulo, SP",03420-005
Passagem A,Alto da Mooca,"São Paulo, SP","Alto da Mooca, São Paulo, SP",03195-105
Rua A,Jardim Amália,"São Paulo, SP","Jardim Amália, São Paulo, SP",05892-387
Rua 03 de Outubro (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-284
Rua 13 de Maio,Cantinho do Céu,"São Paulo, SP","Cantinho do Céu, São Paulo, SP",04849-529
Viela 16,Parque São José,"São Paulo, SP","Parque São José, São Paulo, SP",04843-425
Rua 18 de Abril,Cidade Antônio Estevão de Carvalho,"São Paulo, SP","Cidade Antônio Estevão de Carvalho, São Paulo, SP",08226-021
Travessa 19 de Agosto,Jardim Maria Estela,"São Paulo, SP","Jardim Maria Estela, São Paulo, SP",04180-112
Rua 2 de Fevereiro,Cidade Nova Heliópolis,"São Paulo, SP","Cidade Nova Heliópolis, São Paulo, SP",04236-094
Rua 21 de Abril,Brás,"São Paulo, SP","Brás, São Paulo, SP",03047-000
Rua 23 de Novembro,Vila Progresso (Zona Leste),"São Paulo, SP","Vila Progresso (Zona Leste), São Paulo, SP",08240-001
Avenida 24 de Agosto,Conjunto Habitacional Fazenda do Carmo,"São Paulo, SP","Conjunto Habitacional Fazenda do Carmo, São Paulo, SP",08421-510
Travessa 26 de Outubro,Jardim Nazareth,"São Paulo, SP","Jardim Nazareth, São Paulo, SP",08150-640
Rua 29,Lotm Cananéia,"Fazenda Sao Paulo, SP","Lotm Cananéia, Fazenda Sao Paulo, SP",18190-000
Rua 29 de Julho (Vila Helena),Jardim São Martinho,"São Paulo, SP","Jardim São Martinho, São Paulo, SP",08081-511
Rua 3,Jardim Jaú (Zona Sul),"São Paulo, SP","Jardim Jaú (Zona Sul), São Paulo, SP",04852-410
Viaduto 31 de Março,Liberdade,"São Paulo, SP","Liberdade, São Paulo, SP",01517-100
Rua 5 de Outubro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-309
Rua 7 G,Cidade Tiradentes,"São Paulo, SP","Cidade Tiradentes, São Paulo, SP",08475-250
Travessa 713,Guaianazes,"São Paulo, SP","Guaianazes, São Paulo, SP",08412-120
Rua 9 de Setembro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-333
Travessa A Banda,Jardim da Conquista (Zona Leste),"São Paulo, SP","Jardim da Conquista (Zona Leste), São Paulo, SP",08344-010
Caminho A,Embura,"São Paulo, SP","Embura, São Paulo, SP",04893-052
Estrada A,Sítio Represa,"São Paulo, SP","Sítio Represa, São Paulo, SP",04894-017
Praça A Gazeta da Zona Norte,Santana,"São Paulo, SP","Santana, São Paulo, SP",02012-030
Passagem A,Vila Carrão,"São Paulo, SP","Vila Carrão, São Paulo, SP",03420-005
Passagem A,Alto da Mooca,"São Paulo, SP","Alto da Mooca, São Paulo, SP",03195-105
Rua A,Jardim Amália,"São Paulo, SP","Jardim Amália, São Paulo, SP",05892-387
Rua 03 de Outubro (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-284
Rua 13 de Maio,Cantinho do Céu,"São Paulo, SP","Cantinho do Céu, São Paulo, SP",04849-529
Viela 16,Parque São José,"São Paulo, SP","Parque São José, São Paulo, SP",04843-425
Rua 18 de Abril,Cidade Antônio Estevão de Carvalho,"São Paulo, SP","Cidade Antônio Estevão de Carvalho, São Paulo, SP",08226-021
Travessa 19 de Agosto,Jardim Maria Estela,"São Paulo, SP","Jardim Maria Estela, São Paulo, SP",04180-112
Rua 2 de Fevereiro,Cidade Nova Heliópolis,"São Paulo, SP","Cidade Nova Heliópolis, São Paulo, SP",04236-094
Rua 21 de Abril,Brás,"São Paulo, SP","Brás, São Paulo, SP",03047-000
Rua 23 de Novembro,Vila Progresso (Zona Leste),"São Paulo, SP","Vila Progresso (Zona Leste), São Paulo, SP",08240-001
Avenida 24 de Agosto,Conjunto Habitacional Fazenda do Carmo,"São Paulo, SP","Conjunto Habitacional Fazenda do Carmo, São Paulo, SP",08421-510
Travessa 26 de Outubro,Jardim Nazareth,"São Paulo, SP","Jardim Nazareth, São Paulo, SP",08150-640
Rua 29,Lotm Cananéia,"Fazenda Sao Paulo, SP","Lotm Cananéia, Fazenda Sao Paulo, SP",18190-000
Rua 29 de Julho (Vila Helena),Jardim São Martinho,"São Paulo, SP","Jardim São Martinho, São Paulo, SP",08081-511
Rua 3,Jardim Jaú (Zona Sul),"São Paulo, SP","Jardim Jaú (Zona Sul), São Paulo, SP",04852-410
Viaduto 31 de Março,Liberdade,"São Paulo, SP","Liberdade, São Paulo, SP",01517-100
Rua 5 de Outubro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-309
Rua 7 G,Cidade Tiradentes,"São Paulo, SP","Cidade Tiradentes, São Paulo, SP",08475-250
Travessa 713,Guaianazes,"São Paulo, SP","Guaianazes, São Paulo, SP",08412-120
Rua 9 de Setembro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-333
Travessa A Banda,Jardim da Conquista (Zona Leste),"São Paulo, SP","Jardim da Conquista (Zona Leste), São Paulo, SP",08344-010
Caminho A,Embura,"São Paulo, SP","Embura, São Paulo, SP",04893-052
Estrada A,Sítio Represa,"São Paulo, SP","Sítio Represa, São Paulo, SP",04894-017
Praça A Gazeta da Zona Norte,Santana,"São Paulo, SP","Santana, São Paulo, SP",02012-030
Passagem A,Vila Carrão,"São Paulo, SP","Vila Carrão, São Paulo, SP",03420-005
Passagem A,Alto da Mooca,"São Paulo, SP","Alto da Mooca, São Paulo, SP",03195-105
Rua A,Jardim Amália,"São Paulo, SP","Jardim Amália, São Paulo, SP",05892-387
Rua 03 de Outubro (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-284
Rua 13 de Maio,Cantinho do Céu,"São Paulo, SP","Cantinho do Céu, São Paulo, SP",04849-529
Viela 16,Parque São José,"São Paulo, SP","Parque São José, São Paulo, SP",04843-425
Rua 18 de Abril,Cidade Antônio Estevão de Carvalho,"São Paulo, SP","Cidade Antônio Estevão de Carvalho, São Paulo, SP",08226-021
Travessa 19 de Agosto,Jardim Maria Estela,"São Paulo, SP","Jardim Maria Estela, São Paulo, SP",04180-112
Rua 2 de Fevereiro,Cidade Nova Heliópolis,"São Paulo, SP","Cidade Nova Heliópolis, São Paulo, SP",04236-094
Rua 21 de Abril,Brás,"São Paulo, SP","Brás, São Paulo, SP",03047-000
Rua 23 de Novembro,Vila Progresso (Zona Leste),"São Paulo, SP","Vila Progresso (Zona Leste), São Paulo, SP",08240-001
Avenida 24 de Agosto,Conjunto Habitacional Fazenda do Carmo,"São Paulo, SP","Conjunto Habitacional Fazenda do Carmo, São Paulo, SP",08421-510
Travessa 26 de Outubro,Jardim Nazareth,"São Paulo, SP","Jardim Nazareth, São Paulo, SP",08150-640
Rua 29,Lotm Cananéia,"Fazenda Sao Paulo, SP","Lotm Cananéia, Fazenda Sao Paulo, SP",18190-000
Rua 29 de Julho (Vila Helena),Jardim São Martinho,"São Paulo, SP","Jardim São Martinho, São Paulo, SP",08081-511
Rua 3,Jardim Jaú (Zona Sul),"São Paulo, SP","Jardim Jaú (Zona Sul), São Paulo, SP",04852-410
Viaduto 31 de Março,Liberdade,"São Paulo, SP","Liberdade, São Paulo, SP",01517-100
Rua 5 de Outubro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-309
Rua 7 G,Cidade Tiradentes,"São Paulo, SP","Cidade Tiradentes, São Paulo, SP",08475-250
Travessa 713,Guaianazes,"São Paulo, SP","Guaianazes, São Paulo, SP",08412-120
Rua 9 de Setembro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-333
Travessa A Banda,Jardim da Conquista (Zona Leste),"São Paulo, SP","Jardim da Conquista (Zona Leste), São Paulo, SP",08344-010
Caminho A,Embura,"São Paulo, SP","Embura, São Paulo, SP",04893-052
Estrada A,Sítio Represa,"São Paulo, SP","Sítio Represa, São Paulo, SP",04894-017
Praça A Gazeta da Zona Norte,Santana,"São Paulo, SP","Santana, São Paulo, SP",02012-030
Passagem A,Vila Carrão,"São Paulo, SP","Vila Carrão, São Paulo, SP",03420-005
Passagem A,Alto da Mooca,"São Paulo, SP","Alto da Mooca, São Paulo, SP",03195-105
Rua A,Jardim Amália,"São Paulo, SP","Jardim Amália, São Paulo, SP",05892-387
Rua 03 de Outubro (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-284
Rua 13 de Maio,Cantinho do Céu,"São Paulo, SP","Cantinho do Céu, São Paulo, SP",04849-529
Viela 16,Parque São José,"São Paulo, SP","Parque São José, São Paulo, SP",04843-425
Rua 18 de Abril,Cidade Antônio Estevão de Carvalho,"São Paulo, SP","Cidade Antônio Estevão de Carvalho, São Paulo, SP",08226-021
Travessa 19 de Agosto,Jardim Maria Estela,"São Paulo, SP","Jardim Maria Estela, São Paulo, SP",04180-112
Rua 2 de Fevereiro,Cidade Nova Heliópolis,"São Paulo, SP","Cidade Nova Heliópolis, São Paulo, SP",04236-094
Rua 21 de Abril,Brás,"São Paulo, SP","Brás, São Paulo, SP",03047-000
Rua 23 de Novembro,Vila Progresso (Zona Leste),"São Paulo, SP","Vila Progresso (Zona Leste), São Paulo, SP",08240-001
Avenida 24 de Agosto,Conjunto Habitacional Fazenda do Carmo,"São Paulo, SP","Conjunto Habitacional Fazenda do Carmo, São Paulo, SP",08421-510
Travessa 26 de Outubro,Jardim Nazareth,"São Paulo, SP","Jardim Nazareth, São Paulo, SP",08150-640
Rua 29,Lotm Cananéia,"Fazenda Sao Paulo, SP","Lotm Cananéia, Fazenda Sao Paulo, SP",18190-000
Rua 29 de Julho (Vila Helena),Jardim São Martinho,"São Paulo, SP","Jardim São Martinho, São Paulo, SP",08081-511
Rua 3,Jardim Jaú (Zona Sul),"São Paulo, SP","Jardim Jaú (Zona Sul), São Paulo, SP",04852-410
Viaduto 31 de Março,Liberdade,"São Paulo, SP","Liberdade, São Paulo, SP",01517-100
Rua 5 de Outubro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-309
Rua 7 G,Cidade Tiradentes,"São Paulo, SP","Cidade Tiradentes, São Paulo, SP",08475-250
Travessa 713,Guaianazes,"São Paulo, SP","Guaianazes, São Paulo, SP",08412-120
Rua 9 de Setembro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-333
Travessa A Banda,Jardim da Conquista (Zona Leste),"São Paulo, SP","Jardim da Conquista (Zona Leste), São Paulo, SP",08344-010
Caminho A,Embura,"São Paulo, SP","Embura, São Paulo, SP",04893-052
Estrada A,Sítio Represa,"São Paulo, SP","Sítio Represa, São Paulo, SP",04894-017
Praça A Gazeta da Zona Norte,Santana,"São Paulo, SP","Santana, São Paulo, SP",02012-030
Passagem A,Vila Carrão,"São Paulo, SP","Vila Carrão, São Paulo, SP",03420-005
Passagem A,Alto da Mooca,"São Paulo, SP","Alto da Mooca, São Paulo, SP",03195-105
Rua A,Jardim Amália,"São Paulo, SP","Jardim Amália, São Paulo, SP",05892-387
Rua 03 de Outubro (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-284
Rua 13 de Maio,Cantinho do Céu,"São Paulo, SP","Cantinho do Céu, São Paulo, SP",04849-529
Viela 16,Parque São José,"São Paulo, SP","Parque São José, São Paulo, SP",04843-425
Rua 18 de Abril,Cidade Antônio Estevão de Carvalho,"São Paulo, SP","Cidade Antônio Estevão de Carvalho, São Paulo, SP",08226-021
Travessa 19 de Agosto,Jardim Maria Estela,"São Paulo, SP","Jardim Maria Estela, São Paulo, SP",04180-112
Rua 2 de Fevereiro,Cidade Nova Heliópolis,"São Paulo, SP","Cidade Nova Heliópolis, São Paulo, SP",04236-094
Rua 21 de Abril,Brás,"São Paulo, SP","Brás, São Paulo, SP",03047-000
Rua 23 de Novembro,Vila Progresso (Zona Leste),"São Paulo, SP","Vila Progresso (Zona Leste), São Paulo, SP",08240-001
Avenida 24 de Agosto,Conjunto Habitacional Fazenda do Carmo,"São Paulo, SP","Conjunto Habitacional Fazenda do Carmo, São Paulo, SP",08421-510
Travessa 26 de Outubro,Jardim Nazareth,"São Paulo, SP","Jardim Nazareth, São Paulo, SP",08150-640
Rua 29,Lotm Cananéia,"Fazenda Sao Paulo, SP","Lotm Cananéia, Fazenda Sao Paulo, SP",18190-000
Rua 29 de Julho (Vila Helena),Jardim São Martinho,"São Paulo, SP","Jardim São Martinho, São Paulo, SP",08081-511
Rua 3,Jardim Jaú (Zona Sul),"São Paulo, SP","Jardim Jaú (Zona Sul), São Paulo, SP",04852-410
Viaduto 31 de Março,Liberdade,"São Paulo, SP","Liberdade, São Paulo, SP",01517-100
Rua 5 de Outubro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-309
Rua 7 G,Cidade Tiradentes,"São Paulo, SP","Cidade Tiradentes, São Paulo, SP",08475-250
Travessa 713,Guaianazes,"São Paulo, SP","Guaianazes, São Paulo, SP",08412-120
Rua 9 de Setembro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-333
Travessa A Banda,Jardim da Conquista (Zona Leste),"São Paulo, SP","Jardim da Conquista (Zona Leste), São Paulo, SP",08344-010
Caminho A,Embura,"São Paulo, SP","Embura, São Paulo, SP",04893-052
Estrada A,Sítio Represa,"São Paulo, SP","Sítio Represa, São Paulo, SP",04894-017
Praça A Gazeta da Zona Norte,Santana,"São Paulo, SP","Santana, São Paulo, SP",02012-030
Passagem A,Vila Carrão,"São Paulo, SP","Vila Carrão, São Paulo, SP",03420-005
Passagem A,Alto da Mooca,"São Paulo, SP","Alto da Mooca, São Paulo, SP",03195-105
Rua A,Jardim Amália,"São Paulo, SP","Jardim Amália, São Paulo, SP",05892-387
Rua 03 de Outubro (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-284
Rua 13 de Maio,Cantinho do Céu,"São Paulo, SP","Cantinho do Céu, São Paulo, SP",04849-529
Viela 16,Parque São José,"São Paulo, SP","Parque São José, São Paulo, SP",04843-425
Rua 18 de Abril,Cidade Antônio Estevão de Carvalho,"São Paulo, SP","Cidade Antônio Estevão de Carvalho, São Paulo, SP",08226-021
Travessa 19 de Agosto,Jardim Maria Estela,"São Paulo, SP","Jardim Maria Estela, São Paulo, SP",04180-112
Rua 2 de Fevereiro,Cidade Nova Heliópolis,"São Paulo, SP","Cidade Nova Heliópolis, São Paulo, SP",04236-094
Rua 21 de Abril,Brás,"São Paulo, SP","Brás, São Paulo, SP",03047-000
Rua 23 de Novembro,Vila Progresso (Zona Leste),"São Paulo, SP","Vila Progresso (Zona Leste), São Paulo, SP",08240-001
Avenida 24 de Agosto,Conjunto Habitacional Fazenda do Carmo,"São Paulo, SP","Conjunto Habitacional Fazenda do Carmo, São Paulo, SP",08421-510
Travessa 26 de Outubro,Jardim Nazareth,"São Paulo, SP","Jardim Nazareth, São Paulo, SP",08150-640
Rua 29,Lotm Cananéia,"Fazenda Sao Paulo, SP","Lotm Cananéia, Fazenda Sao Paulo, SP",18190-000
Rua 29 de Julho (Vila Helena),Jardim São Martinho,"São Paulo, SP","Jardim São Martinho, São Paulo, SP",08081-511
Rua 3,Jardim Jaú (Zona Sul),"São Paulo, SP","Jardim Jaú (Zona Sul), São Paulo, SP",04852-410
Viaduto 31 de Março,Liberdade,"São Paulo, SP","Liberdade, São Paulo, SP",01517-100
Rua 5 de Outubro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-309
Rua 7 G,Cidade Tiradentes,"São Paulo, SP","Cidade Tiradentes, São Paulo, SP",08475-250
Travessa 713,Guaianazes,"São Paulo, SP","Guaianazes, São Paulo, SP",08412-120
Rua 9 de Setembro,Chácara Gaivotas,"São Paulo, SP","Chácara Gaivotas, São Paulo, SP",04849-333
Travessa A Banda,Jardim da Conquista (Zona Leste),"São Paulo, SP","Jardim da Conquista (Zona Leste), São Paulo, SP",08344-010
Caminho A,Embura,"São Paulo, SP","Embura, São Paulo, SP",04893-052
Estrada A,Sítio Represa,"São Paulo, SP","Sítio Represa, São Paulo, SP",04894-017
Praça A Gazeta da Zona Norte,Santana,"São Paulo, SP","Santana, São Paulo, SP",02012-030
Passagem A,Vila Carrão,"São Paulo, SP","Vila Carrão, São Paulo, SP",03420-005
Passagem A,Alto da Mooca,"São Paulo, SP","Alto da Mooca, São Paulo, SP",03195-105
Rua A,Jardim Amália,"São Paulo, SP","Jardim Amália, São Paulo, SP",05892-387
Rua 03 de Outubro (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-284
Rua Agostinho Delgado de Arouche,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-160
Rua Aguarico,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-150
Rua Alagoas (Jd Arizona),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-556
Rua Alexandre Machado Pereira,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-490
Rua Algodoeiros,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-540
Rua Almeida Falcão,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-190
Rua Amazonas (Jd Arizona),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-552
Rua Antônio Coutinho,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-200
Rua Antônio Joaquim de Carvalho,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-630
Rua Antônio de Sousa e Castro,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-300
Rua Araguaia Paraense,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-510
Rua Arinos,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-180
Rua Bahia (Jd Arizona),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-553
Rua Beija-flor (Jardim Arizona),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-603
Rua Belo Vale,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-250
Rua Bernardo Guedes de Toledo,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-170
Rua Boiçuaíba,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-750
Rua Cachoeira do Brumado,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-520
Rua Caetano Duarte,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-370
Rua Camomila,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-530
Rua Canarinho (Ch Três Meninas),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-281
Rua Carlo Maratti,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-460
Praça Carmo da Cachoeira,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-410
Rua Cauim,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-260
Rua Cirilo Alves da Silva,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-600
Rua Conceição de Minas,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-330
Rua Cosme dos Santos,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-753
Praça Craveiro do Campo,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-590
Rua Creusa de Souza Silva,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-602
Rua Cruzeiro da Fortaleza,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-430
Rua Curuapanema,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08080-550
Rua Diogo Sanches,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-110
Praça Domingos Dias Sereno,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-270
Rua Domingos Trigueiros,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-340
Rua Doutor Gregório de Oliveira e Castro,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-390
Rua Doutor Oliveira Arruda,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-020
Rua Doutor Ribeiro de Andrade,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-040
Rua Emílio Cardoso Aires,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-350
Rua Engenheiro Romeu Belluomini,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-270
Rua Engenheiro Álvaro de Sales Oliveira,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-380
Rua Erli,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-080
Rua Erva Andorinha,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-470
Rua Esperança,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-604
Rua Esteves Ferreira,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-150
Rua Ferreira de Camargo,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-300
Rua Fortaleza de Minas,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-480
Rua Fortim Itapoã,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-210
Rua Fortim do Descalvado,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-060
Rua Francisco Cirillo,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-620
Rua Francisco Pinheiro de Sepeda,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-190
Rua Frei André Blanco,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-230
Rua Frei Francisco,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-200
Avenida Félix Nascentes Pinto,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-280
Rua Graciosa,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-700
Rua Guainambé,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-320
Rua Guarauna,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-740
Rua Hilário Pires,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-010
Rua Inácio Alvarez,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-660
Rua Ipê Branco,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08081-240
Estrada Itaquera-Guaianazes - de 1723/1724 a 2558/2559,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-000
Rua Itarana,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-100
Rua Jean Murat,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-360
Rua Joaquim Pardave,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-355
Rua José Cubas do Prado,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-180
Avenida José Pinheiro Borges,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-092
Rua João Piqueras,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-220
Rua Juriti Azul,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-310
Rua Juvelina,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-120
Rua Kumaki Aoki,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-370
Rua Leonel de Azevedo (Jd Arizona),Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-557
Rua Lorenzo Penna,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08371-160
Rua Lourenço Xavier,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-260
Rua Mafalda Santanin Bettio,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-060
Rua Mamangá,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08090-570
Rua Manuel Calhamares,Jardim Helena,"São Paulo, SP","Jardim Helena, São Paulo, SP",08420-090
